date,Max_Temperature,Min_Temperature,GDD
2023-06-01,32.06,26.43,19.24
2023-06-02,32.51,26.43,19.47
2023-06-03,36.47,24.9,20.68
2023-06-04,35.2,26.48,20.84
2023-06-05,35.81,24.65,20.23
2023-06-06,35.2,26.48,20.84
2023-06-07,35.96,25.76,20.86
2023-06-08,34.33,25.4,19.86
2023-06-09,34.29,25.81,20.05
2023-06-10,35.25,25.87,20.56
2023-06-11,36.72,25.92,21.32
2023-06-12,36.78,26.07,21.42
2023-06-13,36.78,25.56,21.17
2023-06-14,34.89,25.87,20.38
2023-06-15,35.25,26.78,21.02
2023-06-16,33.68,26.27,19.98
2023-06-17,35.66,25.92,20.79
2023-06-18,38.24,23.73,20.98
2023-06-19,37.73,23.48,20.6
2023-06-20,37.33,24.65,20.99
2023-06-21,36.57,24.9,20.74
2023-06-22,37.03,25.81,21.42
2023-06-23,34.03,25.36,19.7
2023-06-24,35.05,25.81,20.43
2023-06-25,33.88,26.02,19.95
2023-06-26,34.44,25.71,20.08
2023-06-27,36.47,25.2,20.84
2023-06-28,36.82,26.27,21.54
2023-06-29,38.75,24.29,21.52
2023-06-30,36.22,25.61,20.92
2023-07-05,35.0,26.73,20.86
2023-07-06,33.83,25.26,19.55
2023-07-07,30.94,26.52,18.73
2023-07-08,33.93,26.43,20.18
2023-07-09,35.81,26.63,21.22
2023-07-10,35.66,25.0,20.33
2023-07-11,36.87,25.61,21.24
2023-07-12,36.51,25.76,21.14
2023-07-13,37.48,25.96,21.72
2023-07-14,35.05,26.27,20.66
2023-07-15,36.37,26.43,21.4
2023-07-16,36.01,26.27,21.14
2023-07-17,34.8,26.07,20.43
2023-07-18,38.34,26.17,22.26
2023-07-19,38.75,23.89,21.32
2023-07-20,38.65,23.84,21.24
2023-07-21,34.69,25.81,20.25
2023-07-22,35.75,24.34,20.05
2023-07-23,36.37,25.0,20.68
2023-07-24,37.68,25.76,21.72
2023-07-25,36.62,26.37,21.49
2023-07-26,32.71,25.76,19.24
2023-07-27,36.72,25.76,21.24
2023-07-28,38.49,25.51,22.0
2023-07-29,37.18,25.06,21.12
2023-07-30,35.86,25.56,20.71
2023-07-31,35.4,25.96,20.68
2023-08-01,35.55,8.87,12.21
2023-08-02,36.01,23.58,19.79
2023-08-03,38.34,26.12,22.23
2023-08-04,38.85,25.11,21.98
2023-08-05,38.49,25.46,21.98
2023-08-06,36.51,25.67,21.09
2023-08-07,35.61,26.02,20.82
2023-08-08,38.14,25.71,21.92
2023-08-09,35.25,25.11,20.18
2023-08-10,37.79,24.25,21.02
2023-08-11,36.47,26.12,21.3
2023-08-12,36.37,25.96,21.16
2023-08-13,32.15,25.61,18.88
2023-08-14,37.84,25.81,21.83
2023-08-15,34.59,25.81,20.2
2023-08-16,36.82,25.56,21.19
2023-08-17,35.4,25.51,20.45
2023-08-18,36.82,26.02,21.42
2023-08-19,35.75,26.78,21.26
2023-08-20,35.5,26.63,21.06
2023-08-21,33.43,26.27,19.85
2023-08-22,31.54,25.31,18.42
2023-08-23,33.22,25.36,19.29
2023-08-24,35.3,24.59,19.94
2023-08-25,34.64,26.07,20.36
2023-08-26,38.29,24.25,21.27
2023-08-27,36.78,24.9,20.84
2023-08-28,37.23,24.5,20.86
2023-08-29,38.24,25.4,21.82
2023-08-30,38.6,24.95,21.78
2023-08-31,38.14,25.11,21.62
2023-09-01,39.21,24.75,21.98
2023-09-02,34.49,24.39,19.44
2023-09-03,34.8,26.02,20.41
2023-09-04,35.4,25.71,20.56
2023-09-05,37.12,25.06,21.09
2023-09-06,38.14,23.89,21.02
2023-09-07,36.11,25.0,20.56
2023-09-08,37.59,25.36,21.48
2023-09-09,35.75,24.85,20.3
2023-09-10,36.01,26.17,21.09
2023-09-11,35.91,25.92,20.92
2023-09-12,37.38,25.26,21.32
2023-09-13,38.34,25.81,22.08
2023-09-14,35.35,26.27,20.81
2023-09-15,35.86,8.98,12.42
2023-09-16,37.53,24.75,21.14
2023-09-17,35.2,25.71,20.46
2023-09-18,35.3,26.12,20.71
2023-09-19,36.98,25.4,21.19
2023-09-20,38.29,24.65,21.47
2023-09-21,39.16,24.14,21.65
2023-09-22,39.46,24.7,22.08
2023-09-23,37.07,24.59,20.83
2023-09-24,36.37,25.4,20.88
2023-09-25,37.68,24.85,21.26
2023-09-26,37.12,26.37,21.74
2023-09-27,37.84,25.51,21.68
2023-09-28,31.85,25.67,18.76
2023-09-29,38.9,18.26,18.58
2023-09-30,39.1,25.36,22.23
2023-10-01,27.54,27.54,17.54
